UIC,név,meghajtás
95 55 2920 xxx-x,C50,dízel
98 55 8276 xxx-x,Mk45,dízel
95 55 8443 002-4,Abamot,dízel
95 55 2948 xxx-x,Mk48,dízel
98 55 0288 xxx-x,Mazsola,dízel
98 55 0448 4xx-x,Bobo,dízel
98 43 0448 3xx-x,Bobo (Gysev),dízel
98 55 0478 xxx-x,Dácsia,dízel
92 55 0408 2xx-x,Púpos,dízel
92 55 0408 3xx-x,Remot Púpos,dízel
92 43 0408 4xx-x,Púpos (Gysev),dízel
92 55 0418 1xx-x,Csörgő,dízel
92 55 0418 3xx-x,Hörgő,dízel
92 55 0628 0xx-x,Szergej,dízel
92 55 0628 1xx-x,Szergej,dízel
92 55 0628 2xx-x,Szergej,dízel
92 55 0628 3xx-x,Remot Szergej,dízel
92 55 0628 5xx-x,Széles Szergej,dízel
95 55 0117 xxx-x,Bzmot,dízel
95 55 0127 xxx-x,InterPici,dízel
95 55 1136 001-3,Iker-Bz,dízel
95 55 1416 xxx-x,Usgyi,dízel
95 55 1426 xxx-x,Desiro,dízel
95 81 5147 xxx-x,Jenbacher (csuklós),dízel
95 55 1446 xxx-x,Jenbacher (csuklós),dízel
95 55 0247 xxx-x,Jenbacher (szóló),dízel
90 55 1406 xxx-x,Tram-Train,hibrid
94 55 1415 0xx-x,Flirt,villany
94 55 1415 1xx-x,Flirt,villany
94 55 1415 5xx-x,Flirt (Gysev),villany
94 55 1435 5xx-x,Flirt 3 ,villany
94 55 1815 xxx-x,Kiss,villany
94 55 1425 xxx-x,Talent,villany
94 55 0414 xxx-x,Hernyó,villany
94 55 0424 xxx-x,Kis-Samu,villany
94 55 0434 xxx-x,Samu,villany
50 55 8005 1xx-x,BDt 1xx,vezérlőkocsi
50 55 8005 4xx-x,BDt 4xx (Fecske),vezérlőkocsi
50 55 8029 xxx-x,IP vezérlő,vezérlőkocsi
50 55 8055 xxx-x,Halbi vezérlő,vezérlőkocsi
50 55 8005 0xx-x,Hernyó (vezérlő),vezérlőkocsi
61 55 8076 xxx-x,Samu (vezérlő),vezérlőkocsi
91 43 0430 xxx-x,Szili (Gysev),villany
91 55 0431 xxx-x,Szili,villany
91 55 0432 xxx-x,Papagáj/Fecske Szili,villany
91 55 0433 xxx-x,Cirmos,villany
91 55 0630 xxx-x,Gigant,villany
97 55 0460 xxx-x,Szöcske,villany
91 55 0480 xxx-x,Traxx,villany
91 55 0470 0xx-x,Taurus,villany
91 43 0470 5xx-x,Taurus (Gysev),villany
91 55 0471 xxx-x,Vectron,villany
91 80 6193 xxx-x,Vectron,villany
